BOQ,"Berkana Birth, Othila Ancestral, Kaunaz Fire","Earth Mother, Birth, Inherited Property, Genetics, Fire, Knowledge","Transmutation=2, Divination=2, Conjuration=1, Evocation=1"
BOR,"Berkana Birth, Othila Ancestral, Raido Wheel","Earth Mother, Birth, Inherited Property, Genetics, Solar Chariot, Rhythm","Transmutation=3, Conjuration=1, Divination=1, Enchantment=1"
BOS,"Berkana Birth, Othila Ancestral, Sowulo Sun","Earth Mother, Birth, Inherited Property, Genetics, Thunderbolt, Wheel of Power","Transmutation=3, Conjuration=1, Divination=1, Evocation=1"
BOT,"Berkana Birth, Othila Ancestral, Teiwaz Victory","Earth Mother, Birth, Inherited Property, Genetics, Masculine Gods, Warrior Rune","Transmutation=2, Conjuration=1, Divination=1, Evocation=1, Enchantment=1"
BOTH,"Berkana Birth, Othila Ancestral, Thurisaz Thor","Earth Mother, Birth, Inherited Property, Genetics, Protection, Polarity, Regeneration","Transmutation=3, Conjuration=1, Divination=1, Abjuration=1, Necromancy=1"
BOV,"Berkana Birth, Othila Ancestral, Wunjo Joy","Earth Mother, Birth, Inherited Property, Genetics, Kinship, Heritage, Joy","Transmutation=2, Conjuration=1, Divination=1, Enchantment=1"
BOW,"Berkana Birth, Othila Ancestral, Wunjo Joy","Earth Mother, Birth, Inherited Property, Genetics, Kinship, Heritage, Joy","Transmutation=2, Conjuration=1, Divination=1, Enchantment=1"
BOX,"Berkana Birth, Othila Ancestral, Thurisaz Thor","Earth Mother, Birth, Inherited Property, Genetics, Protection, Polarity, Regeneration","Transmutation=3, Conjuration=1, Divination=1, Abjuration=1, Necromancy=1"
BOY,"Berkana Birth, Othila Ancestral, Eiwaz Death","Earth Mother, Birth, Inherited Property, Genetics,  Tree of Life, Dreaming, Magic","Transmutation=2, Divination=2, Conjuration=1, Illusion=1"
BOZ,"Berkana Birth, Othila Ancestral, Algiz Protection","Earth Mother, Birth, Inherited Property, Genetics, Divine Protection, Sanctuary","Transmutation=2, Conjuration=1, Divination=1, Abjuration=1"
BOA,"Berkana Birth, Othila Ancestral, Ansuz Odin","Earth Mother, Birth, Inherited Property, Genetics, God, Ancestors","Transmutation=2, Divination=2, Conjuration=1"
BOE,"Berkana Birth, Othila Ancestral, Ehwaz Fire","Earth Mother, Birth, Inherited Property, Genetics, Fire, Knowledge","Transmutation=2, Divination=2, Conjuration=1, Evocation=1"
BOI,"Berkana Birth, Othila Ancestral, Isa Ice","Earth Mother, Birth, Inherited Property, Genetics, Cosmic Coherence","Transmutation=3, Conjuration=1, Divination=1"
BOU,"Berkana Birth, Othila Ancestral, Uruz Power","Earth Mother, Birth, Inherited Property, Genetics, Primal Creative Force, Gateway","Transmutation=3, Conjuration=1, Divination=1, Evocation=1"
BUC,"Berkana Birth, Uruz Power, Kaunaz Fire","Earth Mother, Birth, Primal Creative Force, Gateway, Fire, Knowledge","Transmutation=2, Evocation=2, Conjuration=1, Divination=1"
BUD,"Berkana Birth, Uruz Power, Dagaz Dawn","Earth Mother, Birth, Primal Creative Force, Gateway, Intuition, Light Within","Transmutation=3, Conjuration=1, Evocation=1, Divination=1"
BUF,"Berkana Birth, Uruz Power, Fehu Frey","Earth Mother, Birth, Primal Creative Force, Gateway, Wealth, Mother Rune","Transmutation=2, Conjuration=1, Evocation=1, Enchantment=1"
BUG,"Berkana Birth, Uruz Power, Gebo Gift","Earth Mother, Birth, Primal Creative Force, Gateway, Divine Interaction","Transmutation=3, Conjuration=2, Evocation=1"
BUH,"Berkana Birth, Uruz Power, Hagalaz Air","Earth Mother, Birth, Primal Creative Force, Gateway, Transformation, Egg of Life","Transmutation=3, Conjuration=1, Evocation=1"
BUJ,"Berkana Birth, Uruz Power, Jera Earth","Earth Mother, Birth, Primal Creative Force, Gateway, Cycles, Right Action","Transmutation=3, Conjuration=1, Evocation=1, Divination=1"
BUK,"Berkana Birth, Uruz Power, Kaunaz Fire","Earth Mother, Birth, Primal Creative Force, Gateway, Fire, Knowledge","Transmutation=2, Evocation=2, Conjuration=1, Divination=1"
BUL,"Berkana Birth, Uruz Power, Laguz Water","Earth Mother, Birth, Primal Creative Force, Gateway, Fertility, Living Renewal","Transmutation=3, Conjuration=2, Evocation=1"
BUM,"Berkana Birth, Uruz Power, Mannaz Man","Earth Mother, Birth, Primal Creative Force, Gateway, Divine Union, Manifestation","Transmutation=3, Conjuration=2, Evocation=1, Illusion=1"
BUN,"Berkana Birth, Uruz Power, Nauthiz Necessity","Earth Mother, Birth, Primal Creative Force, Gateway, Needs, Friction, Shadow","Transmutation=2, Conjuration=1, Evocation=1, Enchantment=1, Illusion=1, Necromancy=1"
BUNG,"Berkana Birth, Uruz Power, Inguz Fertility","Earth Mother, Birth, Primal Creative Force, Gateway, True Love, Music, Harmony","Transmutation=3, Conjuration=1, Evocation=1, Divination=1, Enchantment=1"
BUP,"Berkana Birth, Uruz Power, Peorth Hearth","Earth Mother, Birth, Primal Creative Force, Gateway, Divination, Luck, Primal Law","Transmutation=3, Conjuration=1, Evocation=1, Divination=1"
BUQ,"Berkana Birth, Uruz Power, Kaunaz Fire","Earth Mother, Birth, Primal Creative Force, Gateway, Fire, Knowledge","Transmutation=2, Evocation=2, Conjuration=1, Divination=1"
BUR,"Berkana Birth, Uruz Power, Raido Wheel","Earth Mother, Birth, Primal Creative Force, Gateway, Solar Chariot, Rhythm","Transmutation=3, Conjuration=1, Evocation=1, Enchantment=1"
BUS,"Berkana Birth, Uruz Power, Sowulo Sun","Earth Mother, Birth, Primal Creative Force, Gateway, Thunderbolt, Wheel of Power","Transmutation=3, Evocation=2, Conjuration=1"
BUT,"Berkana Birth, Uruz Power, Teiwaz Victory","Earth Mother, Birth, Primal Creative Force, Gateway, Masculine Gods, Warrior Rune","Transmutation=2, Evocation=2, Conjuration=1, Enchantment=1"
BUTH,"Berkana Birth, Uruz Power, Thurisaz Thor","Earth Mother, Birth, Primal Creative Force, Gateway, Protection, Polarity, Regeneration","Transmutation=3, Conjuration=1, Evocation=1, Abjuration=1, Necromancy=1"
BUV,"Berkana Birth, Uruz Power, Wunjo Joy","Earth Mother, Birth, Primal Creative Force, Gateway, Kinship, Heritage, Joy","Transmutation=2, Conjuration=1, Evocation=1, Enchantment=1"
BUW,"Berkana Birth, Uruz Power, Wunjo Joy","Earth Mother, Birth, Primal Creative Force, Gateway, Kinship, Heritage, Joy","Transmutation=2, Conjuration=1, Evocation=1, Enchantment=1"
BUX,"Berkana Birth, Uruz Power, Thurisaz Thor","Earth Mother, Birth, Primal Creative Force, Gateway, Protection, Polarity, Regeneration","Transmutation=3, Conjuration=1, Evocation=1, Abjuration=1, Necromancy=1"
BUY,"Berkana Birth, Uruz Power, Eiwaz Death","Earth Mother, Birth, Primal Creative Force, Gateway,  Tree of Life, Dreaming, Magic","Transmutation=2, Conjuration=1, Evocation=1, Divination=1, Illusion=1"
BUZ,"Berkana Birth, Uruz Power, Algiz Protection","Earth Mother, Birth, Primal Creative Force, Gateway, Divine Protection, Sanctuary","Transmutation=2, Conjuration=1, Evocation=1, Abjuration=1"
BUA,"Berkana Birth, Uruz Power, Ansuz Odin","Earth Mother, Birth, Primal Creative Force, Gateway, God, Ancestors","Transmutation=2, Conjuration=1, Evocation=1, Divination=1"
BUE,"Berkana Birth, Uruz Power, Ehwaz Fire","Earth Mother, Birth, Primal Creative Force, Gateway, Fire, Knowledge","Transmutation=2, Evocation=2, Conjuration=1, Divination=1"
BUI,"Berkana Birth, Uruz Power, Isa Ice","Earth Mother, Birth, Primal Creative Force, Gateway, Cosmic Coherence","Transmutation=3, Conjuration=1, Evocation=1"
BUO,"Berkana Birth, Uruz Power, Othila Ancestral","Earth Mother, Birth, Primal Creative Force, Gateway, Inherited Property, Genetics","Transmutation=3, Conjuration=1, Evocation=1, Divination=1"
CAB,"Kaunaz Fire, Ansuz Odin, Berkana Birth","Fire, Knowledge, God, Ancestors, Earth Mother, Birth","Divination=2, Evocation=1, Conjuration=1, Transmutation=1"
CAD,"Kaunaz Fire, Ansuz Odin, Dagaz Dawn","Fire, Knowledge, God, Ancestors, Intuition, Light Within","Divination=3, Evocation=1, Transmutation=1"
CAF,"Kaunaz Fire, Ansuz Odin, Fehu Frey","Fire, Knowledge, God, Ancestors, Wealth, Mother Rune","Divination=2, Evocation=1, Enchantment=1"
CAG,"Kaunaz Fire, Ansuz Odin, Gebo Gift","Fire, Knowledge, God, Ancestors, Divine Interaction","Divination=2, Evocation=1, Transmutation=1, Conjuration=1"
CAH,"Kaunaz Fire, Ansuz Odin, Hagalaz Air","Fire, Knowledge, God, Ancestors, Transformation, Egg of Life","Divination=2, Evocation=1, Transmutation=1"
CAJ,"Kaunaz Fire, Ansuz Odin, Jera Earth","Fire, Knowledge, God, Ancestors, Cycles, Right Action","Divination=3, Evocation=1, Transmutation=1"
CAK,"Kaunaz Fire, Ansuz Odin, Kaunaz Fire","Fire, Knowledge, God, Ancestors, Fire, Knowledge","Divination=3, Evocation=2"
CAL,"Kaunaz Fire, Ansuz Odin, Laguz Water","Fire, Knowledge, God, Ancestors, Fertility, Living Renewal","Divination=2, Evocation=1, Conjuration=1, Transmutation=1"
CAM,"Kaunaz Fire, Ansuz Odin, Mannaz Man","Fire, Knowledge, God, Ancestors, Divine Union, Manifestation","Divination=2, Evocation=1, Conjuration=1, Illusion=1, Transmutation=1"
CAN,"Kaunaz Fire, Ansuz Odin, Nauthiz Necessity","Fire, Knowledge, God, Ancestors, Needs, Friction, Shadow","Divination=2, Evocation=1, Enchantment=1, Illusion=1, Necromancy=1"
CANG,"Kaunaz Fire, Ansuz Odin, Inguz Fertility","Fire, Knowledge, God, Ancestors, True Love, Music, Harmony","Divination=3, Evocation=1, Enchantment=1, Transmutation=1"
CAP,"Kaunaz Fire, Ansuz Odin, Peorth Hearth","Fire, Knowledge, God, Ancestors, Divination, Luck, Primal Law","Divination=3, Evocation=1, Transmutation=1"
CAQ,"Kaunaz Fire, Ansuz Odin, Kaunaz Fire","Fire, Knowledge, God, Ancestors, Fire, Knowledge","Divination=3, Evocation=2"
CAR,"Kaunaz Fire, Ansuz Odin, Raido Wheel","Fire, Knowledge, God, Ancestors, Solar Chariot, Rhythm","Divination=2, Evocation=1, Enchantment=1, Transmutation=1"
CAS,"Kaunaz Fire, Ansuz Odin, Sowulo Sun","Fire, Knowledge, God, Ancestors, Thunderbolt, Wheel of Power","Divination=2, Evocation=2, Transmutation=1"
CAT,"Kaunaz Fire, Ansuz Odin, Teiwaz Victory","Fire, Knowledge, God, Ancestors, Masculine Gods, Warrior Rune","Divination=2, Evocation=2, Enchantment=1"
CATH,"Kaunaz Fire, Ansuz Odin, Thurisaz Thor","Fire, Knowledge, God, Ancestors, Protection, Polarity, Regeneration","Divination=2, Evocation=1, Abjuration=1, Transmutation=1, Necromancy=1"
CAV,"Kaunaz Fire, Ansuz Odin, Wunjo Joy","Fire, Knowledge, God, Ancestors, Kinship, Heritage, Joy","Divination=2, Evocation=1, Enchantment=1"
